"","Var1","Var2","Var3","value"
"254",2,1,22,46
"255",3,1,22,46
"256",1,2,22,7
"257",2,2,22,7
"258",3,2,22,7
"259",1,3,22,5
"260",2,3,22,5
"261",3,3,22,5
"262",1,4,22,2
"263",2,4,22,2
"264",3,4,22,2
"265",1,1,23,32
"266",2,1,23,32
"267",3,1,23,31
"268",1,2,23,13
"269",2,2,23,13
"270",3,2,23,13
"271",1,3,23,3
"272",2,3,23,3
"273",3,3,23,3
"274",1,4,23,2
"275",2,4,23,2
"276",3,4,23,2
"277",1,1,24,30
"278",2,1,24,30
"279",3,1,24,23
"280",1,2,24,7
"281",2,2,24,7
"282",3,2,24,7
"283",1,3,24,5
"284",2,3,24,5
"285",3,3,24,4
"286",1,4,24,2
"287",2,4,24,2
"288",3,4,24,2
"289",1,1,25,17
"290",2,1,25,17
"291",3,1,25,17
"292",1,2,25,7
"293",2,2,25,7
"294",3,2,25,7
"295",1,3,25,5
"296",2,3,25,5
"297",3,3,25,5
"298",1,4,25,2
"299",2,4,25,2
"300",3,4,25,2
"301",1,1,26,29
"302",2,1,26,29
"303",3,1,26,29
"304",1,2,26,5
"305",2,2,26,5
"306",3,2,26,5
"307",1,3,26,3
"308",2,3,26,3
"309",3,3,26,3
"310",1,4,26,5
"311",2,4,26,5
"312",3,4,26,5
"313",1,1,27,17
"314",2,1,27,17
"315",3,1,27,17
"316",1,2,27,6
"317",2,2,27,6
"318",3,2,27,6
"319",1,3,27,3
"320",2,3,27,3
"321",3,3,27,3
"322",1,4,27,2
"323",2,4,27,2
"324",3,4,27,2
"325",1,1,28,46
"326",2,1,28,46
"327",3,1,28,30
"328",1,2,28,5
"329",2,2,28,5
"330",3,2,28,5
"331",1,3,28,3
"332",2,3,28,3
"333",3,3,28,3
"334",1,4,28,2
"335",2,4,28,2
"336",3,4,28,2
"337",1,1,29,19
"338",2,1,29,19
"339",3,1,29,19
"340",1,2,29,8
"341",2,2,29,8
"342",3,2,29,8
"343",1,3,29,3
"344",2,3,29,3
"345",3,3,29,3
"346",1,4,29,3
"347",2,4,29,3
"348",3,4,29,2
"349",1,1,30,28
"350",2,1,30,28
"351",3,1,30,28
"352",1,2,30,8
"353",2,2,30,8
"354",3,2,30,8
"355",1,3,30,3
"356",2,3,30,3
"357",3,3,30,3
"358",1,4,30,2
"359",2,4,30,2
"360",3,4,30,2
"361",1,1,31,33
"362",2,1,31,33
"363",3,1,31,33
"364",1,2,31,7
"365",2,2,31,7
"366",3,2,31,7
"367",1,3,31,2
"368",2,3,31,2
"369",3,3,31,2
"370",1,4,31,3
"371",2,4,31,3
"372",3,4,31,3
"373",1,1,32,21
"374",2,1,32,21
"375",3,1,32,21
"376",1,2,32,6
"377",2,2,32,6
"378",3,2,32,6
"379",1,3,32,3
"380",2,3,32,3
"381",3,3,32,3
"382",1,4,32,2
"383",2,4,32,2
"384",3,4,32,2
"385",1,1,33,17
"386",2,1,33,17
"387",3,1,33,16
"388",1,2,33,6
"389",2,2,33,6
"390",3,2,33,5
"391",1,3,33,6
"392",2,3,33,6
"393",3,3,33,5
"394",1,4,33,2
"395",2,4,33,2
"396",3,4,33,2
"397",1,1,34,19
"398",2,1,34,19
"399",3,1,34,19
"400",1,2,34,5
"401",2,2,34,5
"402",3,2,34,5
"403",1,3,34,2
"404",2,3,34,2
"405",3,3,34,2
"406",1,4,34,3
"407",2,4,34,3
"408",3,4,34,3
"409",1,1,35,32
"410",2,1,35,32
"411",3,1,35,32
"412",1,2,35,10
"413",2,2,35,10
"414",3,2,35,9
"415",1,3,35,3
"416",2,3,35,3
"417",3,3,35,3
"418",1,4,35,2
"419",2,4,35,2
"420",3,4,35,2
"421",1,1,36,33
"422",2,1,36,33
"423",3,1,36,33
"424",1,2,36,8
"425",2,2,36,8
"426",3,2,36,8
"427",1,3,36,4
"428",2,3,36,4
"429",3,3,36,4
"430",1,4,36,2
"431",2,4,36,2
"432",3,4,36,2
"433",1,1,37,24
"434",2,1,37,24
"435",3,1,37,24
"436",1,2,37,7
"437",2,2,37,7
"438",3,2,37,7
"439",1,3,37,3
"440",2,3,37,3
"441",3,3,37,3
"442",1,4,37,2
"443",2,4,37,2
"444",3,4,37,2
"445",1,1,38,23
"446",2,1,38,23
"447",3,1,38,22
"448",1,2,38,8
"449",2,2,38,8
"450",3,2,38,8
"451",1,3,38,8
"452",2,3,38,8
"453",3,3,38,8
"454",1,4,38,2
"455",2,4,38,2
"456",3,4,38,2
"457",1,1,39,29
"458",2,1,39,29
"459",3,1,39,24
"460",1,2,39,7
"461",2,2,39,7
"462",3,2,39,7
"463",1,3,39,4
"464",2,3,39,4
"465",3,3,39,4
"466",1,4,39,2
"467",2,4,39,2
"468",3,4,39,2
"469",1,1,40,20
"470",2,1,40,20
"471",3,1,40,20
"472",1,2,40,8
"473",2,2,40,8
"474",3,2,40,8
"475",1,3,40,3
"476",2,3,40,3
"477",3,3,40,3
"478",1,4,40,2
"479",2,4,40,2
"480",3,4,40,2
"481",1,1,41,19
"482",2,1,41,19
"483",3,1,41,19
"484",1,2,41,9
"485",2,2,41,9
"486",3,2,41,9
"487",1,3,41,3
"488",2,3,41,3
"489",3,3,41,3
"490",1,4,41,2
"491",2,4,41,2
"492",3,4,41,1
"493",1,1,42,26
"494",2,1,42,26
"495",3,1,42,26
"496",1,2,42,9
"497",2,2,42,9
"498",3,2,42,9
"499",1,3,42,3
"500",2,3,42,3
"501",3,3,42,3
"502",1,4,42,1
"503",2,4,42,1
"504",3,4,42,1
"505",1,1,43,36
"506",2,1,43,36
"507",3,1,43,36
"508",1,2,43,9
"509",2,2,43,9
"510",3,2,43,9
"511",1,3,43,5
"512",2,3,43,5
"513",3,3,43,5
"514",1,4,43,3
"515",2,4,43,3
"516",3,4,43,3
"517",1,1,44,32
"518",2,1,44,32
"519",3,1,44,31
"520",1,2,44,8
"521",2,2,44,8
"522",3,2,44,6
"523",1,3,44,5
"524",2,3,44,5
"525",3,3,44,5
"526",1,4,44,3
"527",2,4,44,3
"528",3,4,44,3
"529",1,1,45,23
"530",2,1,45,23
"531",3,1,45,22
"532",1,2,45,4
"533",2,2,45,4
"534",3,2,45,4
"535",1,3,45,5
"536",2,3,45,5
"537",3,3,45,4
"538",1,4,45,3
"539",2,4,45,3
"540",3,4,45,3
"541",1,1,46,20
"542",2,1,46,20
"543",3,1,46,20
"544",1,2,46,11
"545",2,2,46,11
"546",3,2,46,11
"547",1,3,46,3
"548",2,3,46,3
"549",3,3,46,3
"550",1,4,46,3
"551",2,4,46,3
"552",3,4,46,3
"553",1,1,47,27
"554",2,1,47,27
"555",3,1,47,26
"556",1,2,47,6
"557",2,2,47,6
"558",3,2,47,6
"559",1,3,47,4
"560",2,3,47,4
"561",3,3,47,4
"562",1,4,47,2
"563",2,4,47,2
"564",3,4,47,2
"565",1,1,48,18
"566",2,1,48,18
"567",3,1,48,18
"568",1,2,48,5
"569",2,2,48,5
"570",3,2,48,5
"571",1,3,48,4
"572",2,3,48,4
"573",3,3,48,4
"574",1,4,48,2
"575",2,4,48,2
"576",3,4,48,2
"577",1,1,49,43
"578",2,1,49,43
"579",3,1,49,39
"580",1,2,49,11
"581",2,2,49,11
"582",3,2,49,11
"583",1,3,49,2
"584",2,3,49,2
"585",3,3,49,2
"586",1,4,49,2
"587",2,4,49,2
"588",3,4,49,2
"589",1,1,50,22
"590",2,1,50,22
