"","Var1","Var2","Var3","Var4","value"
"214",1,3,3,8,20
"215",2,3,3,8,20
"216",3,3,3,8,20
"217",1,1,1,9,310
"218",2,1,1,9,310
"219",3,1,1,9,310
"220",1,2,1,9,244
"221",2,2,1,9,244
"222",3,2,1,9,244
"223",1,3,1,9,158
"224",2,3,1,9,158
"225",3,3,1,9,158
"226",1,1,2,9,53
"227",2,1,2,9,55
"228",3,1,2,9,55
"229",1,2,2,9,27
"230",2,2,2,9,27
"231",3,2,2,9,28
"232",1,3,2,9,69
"233",2,3,2,9,69
"234",3,3,2,9,69
"235",1,1,3,9,27
"236",2,1,3,9,27
"237",3,1,3,9,27
"238",1,2,3,9,23
"239",2,2,3,9,23
"240",3,2,3,9,23
"241",1,3,3,9,15
"242",2,3,3,9,16
"243",3,3,3,9,16
"244",1,1,1,10,85
"245",2,1,1,10,87
"246",3,1,1,10,87
"247",1,2,1,10,95
"248",2,2,1,10,95
"249",3,2,1,10,95
"250",1,3,1,10,404
"251",2,3,1,10,404
"252",3,3,1,10,404
"253",1,1,2,10,65
"254",2,1,2,10,65
"255",3,1,2,10,65
"256",1,2,2,10,33
"257",2,2,2,10,33
"258",3,2,2,10,33
"259",1,3,2,10,70
"260",2,3,2,10,70
"261",3,3,2,10,70
"262",1,1,3,10,23
"263",2,1,3,10,23
"264",3,1,3,10,23
"265",1,2,3,10,54
"266",2,2,3,10,54
"267",3,2,3,10,54
"268",1,3,3,10,24
"269",2,3,3,10,24
"270",3,3,3,10,24
"271",1,1,1,11,181
"272",2,1,1,11,181
"273",3,1,1,11,181
"274",1,2,1,11,327
"275",2,2,1,11,327
"276",3,2,1,11,327
"277",1,3,1,11,152
"278",2,3,1,11,152
"279",3,3,1,11,152
"280",1,1,2,11,58
"281",2,1,2,11,59
"282",3,1,2,11,59
"283",1,2,2,11,87
"284",2,2,2,11,87
"285",3,2,2,11,87
"286",1,3,2,11,61
"287",2,3,2,11,61
"288",3,3,2,11,61
"289",1,1,3,11,15
"290",2,1,3,11,15
"291",3,1,3,11,15
"292",1,2,3,11,33
"293",2,2,3,11,33
"294",3,2,3,11,33
"295",1,3,3,11,39
"296",2,3,3,11,39
"297",3,3,3,11,39
"298",1,1,1,12,569
"299",2,1,1,12,569
"300",3,1,1,12,569
"301",1,2,1,12,294
"302",2,2,1,12,294
"303",3,2,1,12,294
"304",1,3,1,12,388
"305",2,3,1,12,388
"306",3,3,1,12,388
"307",1,1,2,12,77
"308",2,1,2,12,70
"309",3,1,2,12,77
"310",1,2,2,12,50
"311",2,2,2,12,50
"312",3,2,2,12,50
"313",1,3,2,12,58
"314",2,3,2,12,58
"315",3,3,2,12,58
"316",1,1,3,12,32
"317",2,1,3,12,36
"318",3,1,3,12,36
"319",1,2,3,12,28
"320",2,2,3,12,28
"321",3,2,3,12,28
"322",1,3,3,12,25
"323",2,3,3,12,25
"324",3,3,3,12,25
"325",1,1,1,13,129
"326",2,1,1,13,129
"327",3,1,1,13,129
"328",1,2,1,13,150
"329",2,2,1,13,150
"330",3,2,1,13,150
"331",1,3,1,13,34
"332",2,3,1,13,34
"333",3,3,1,13,34
"334",1,1,2,13,87
"335",2,1,2,13,87
"336",3,1,2,13,92
"337",1,2,2,13,74
"338",2,2,2,13,74
"339",3,2,2,13,74
"340",1,3,2,13,40
"341",2,3,2,13,40
"342",3,3,2,13,40
"343",1,1,3,13,29
"344",2,1,3,13,29
"345",3,1,3,13,29
"346",1,2,3,13,29
"347",2,2,3,13,29
"348",3,2,3,13,29
"349",1,3,3,13,23
"350",2,3,3,13,23
"351",3,3,3,13,23
"352",1,1,1,14,251
"353",2,1,1,14,251
"354",3,1,1,14,251
"355",1,2,1,14,164
"356",2,2,1,14,164
"357",3,2,1,14,164
"358",1,3,1,14,25
"359",2,3,1,14,25
"360",3,3,1,14,25
"361",1,1,2,14,34
"362",2,1,2,14,34
"363",3,1,2,14,34
"364",1,2,2,14,85
"365",2,2,2,14,85
"366",3,2,2,14,85
"367",1,3,2,14,74
"368",2,3,2,14,74
"369",3,3,2,14,74
"370",1,1,3,14,19
"371",2,1,3,14,19
"372",3,1,3,14,19
"373",1,2,3,14,17
"374",2,2,3,14,17
"375",3,2,3,14,17
"376",1,3,3,14,21
"377",2,3,3,14,21
"378",3,3,3,14,21
"379",1,1,1,15,485
"380",2,1,1,15,485
"381",3,1,1,15,485
"382",1,2,1,15,366
"383",2,2,1,15,425
"384",3,2,1,15,425
"385",1,3,1,15,90
"386",2,3,1,15,90
"387",3,3,1,15,90
"388",1,1,2,15,61
"389",2,1,2,15,61
"390",3,1,2,15,61
"391",1,2,2,15,67
"392",2,2,2,15,67
"393",3,2,2,15,67
"394",1,3,2,15,45
"395",2,3,2,15,45
"396",3,3,2,15,45
"397",1,1,3,15,22
"398",2,1,3,15,22
"399",3,1,3,15,22
"400",1,2,3,15,17
"401",2,2,3,15,18
"402",3,2,3,15,18
"403",1,3,3,15,27
"404",2,3,3,15,27
"405",3,3,3,15,27
"406",1,1,1,16,121
"407",2,1,1,16,80
"408",3,1,1,16,122
"409",1,2,1,16,199
"410",2,2,1,16,199
"411",3,2,1,16,199
"412",1,3,1,16,132
"413",2,3,1,16,132
"414",3,3,1,16,132
"415",1,1,2,16,91
"416",2,1,2,16,91
"417",3,1,2,16,91
"418",1,2,2,16,72
"419",2,2,2,16,72
"420",3,2,2,16,72
"421",1,3,2,16,79
"422",2,3,2,16,79
"423",3,3,2,16,79
"424",1,1,3,16,17
"425",2,1,3,16,17
"426",3,1,3,16,17
"427",1,2,3,16,30
"428",2,2,3,16,30
"429",3,2,3,16,30
"430",1,3,3,16,51
"431",2,3,3,16,51
"432",3,3,3,16,51
"433",1,1,1,17,270
"434",2,1,1,17,270
"435",3,1,1,17,270
"436",1,2,1,17,167
"437",2,2,1,17,167
"438",3,2,1,17,167
"439",1,3,1,17,172
"440",2,3,1,17,172
"441",3,3,1,17,172
"442",1,1,2,17,18
"443",2,1,2,17,18
"444",3,1,2,17,18
"445",1,2,2,17,73
"446",2,2,2,17,73
"447",3,2,2,17,73
"448",1,3,2,17,64
"449",2,3,2,17,64
"450",3,3,2,17,64
"451",1,1,3,17,25
"452",2,1,3,17,25
"453",3,1,3,17,25
"454",1,2,3,17,25
"455",2,2,3,17,25
"456",3,2,3,17,25
"457",1,3,3,17,45
"458",2,3,3,17,45
"459",3,3,3,17,45
"460",1,1,1,18,108
"461",2,1,1,18,113
"462",3,1,1,18,113
"463",1,2,1,18,238
"464",2,2,1,18,238
"465",3,2,1,18,238
"466",1,3,1,18,713
"467",2,3,1,18,714
"468",3,3,1,18,714
"469",1,1,2,18,83
"470",2,1,2,18,83
"471",3,1,2,18,84
"472",1,2,2,18,32
"473",2,2,2,18,32
"474",3,2,2,18,32
"475",1,3,2,18,53
"476",2,3,2,18,53
"477",3,3,2,18,53
"478",1,1,3,18,28
"479",2,1,3,18,28
"480",3,1,3,18,28
"481",1,2,3,18,20
"482",2,2,3,18,20
"483",3,2,3,18,20
"484",1,3,3,18,31
"485",2,3,3,18,31
"486",3,3,3,18,31
"487",1,1,1,19,89
"488",2,1,1,19,89
"489",3,1,1,19,90
"490",1,2,1,19,13
"491",2,2,1,19,13
"492",3,2,1,19,13
"493",1,3,1,19,168
"494",2,3,1,19,168
"495",3,3,1,19,168
"496",1,1,2,19,91
"497",2,1,2,19,88
"498",3,1,2,19,92
"499",1,2,2,19,77
"500",2,2,2,19,77
"501",3,2,2,19,77
"502",1,3,2,19,106
"503",2,3,2,19,106
"504",3,3,2,19,106
"505",1,1,3,19,19
"506",2,1,3,19,19
"507",3,1,3,19,19
"508",1,2,3,19,23
"509",2,2,3,19,23
"510",3,2,3,19,23
"511",1,3,3,19,12
"512",2,3,3,19,12
"513",3,3,3,19,12
"514",1,1,1,20,231
"515",2,1,1,20,231
"516",3,1,1,20,231
"517",1,2,1,20,269
"518",2,2,1,20,269
"519",3,2,1,20,269
"520",1,3,1,20,236
"521",2,3,1,20,236
"522",3,3,1,20,236
"523",1,1,2,20,59
"524",2,1,2,20,59
"525",3,1,2,20,59
"526",1,2,2,20,51
"527",2,2,2,20,51
"528",3,2,2,20,51
"529",1,3,2,20,71
"530",2,3,2,20,71
"531",3,3,2,20,71
"532",1,1,3,20,29
"533",2,1,3,20,29
"534",3,1,3,20,29
"535",1,2,3,20,17
"536",2,2,3,20,17
"537",3,2,3,20,17
"538",1,3,3,20,40
"539",2,3,3,20,40
"540",3,3,3,20,40
"541",1,1,1,21,317
"542",2,1,1,21,317
"543",3,1,1,21,317
"544",1,2,1,21,276
"545",2,2,1,21,276
"546",3,2,1,21,276
"547",1,3,1,21,587
"548",2,3,1,21,587
"549",3,3,1,21,587
"550",1,1,2,21,67
"551",2,1,2,21,67
"552",3,1,2,21,67
"553",1,2,2,21,58
"554",2,2,2,21,58
"555",3,2,2,21,58
"556",1,3,2,21,33
"557",2,3,2,21,33
"558",3,3,2,21,33
"559",1,1,3,21,19
"560",2,1,3,21,19
"561",3,1,3,21,19
"562",1,2,3,21,37
"563",2,2,3,21,37
"564",3,2,3,21,37
"565",1,3,3,21,34
"566",2,3,3,21,34
"567",3,3,3,21,34
"568",1,1,1,22,44
"569",2,1,1,22,44
"570",3,1,1,22,44
"571",1,2,1,22,352
"572",2,2,1,22,352
"573",3,2,1,22,352
"574",1,3,1,22,227
"575",2,3,1,22,227
"576",3,3,1,22,227
"577",1,1,2,22,67
"578",2,1,2,22,67
"579",3,1,2,22,82
"580",1,2,2,22,66
"581",2,2,2,22,66
"582",3,2,2,22,66
"583",1,3,2,22,29
"584",2,3,2,22,29
"585",3,3,2,22,29
"586",1,1,3,22,26
"587",2,1,3,22,26
"588",3,1,3,22,26
"589",1,2,3,22,26
"590",2,2,3,22,26
"591",3,2,3,22,26
